,Year,Period,Area,Area Type,Adjustment,Employment,Civilian Labor Force,Unemployment,Unemployment Rate
1428,2006,March,Hardin                                               ,County,Not Adjusted,24112,25511,1399,5.5
1429,2006,June,Hardin                                               ,County,Not Adjusted,24021,25529,1508,5.9
1430,2006,September,Hardin                                               ,County,Not Adjusted,24106,25389,1283,5.1
1431,2006,December,Hardin                                               ,County,Not Adjusted,24509,25621,1112,4.3
1432,2006,March,Harris                                               ,County,Not Adjusted,1762535,1861147,98612,5.3
1433,2006,June,Harris                                               ,County,Not Adjusted,1768911,1873259,104348,5.6
1434,2006,September,Harris                                               ,County,Not Adjusted,1791544,1884112,92568,4.9
1435,2006,December,Harris                                               ,County,Not Adjusted,1821206,1899403,78197,4.1
1436,2006,March,Harrison                                             ,County,Not Adjusted,29621,31216,1595,5.1
1437,2006,June,Harrison                                             ,County,Not Adjusted,29718,31534,1816,5.8
1438,2006,September,Harrison                                             ,County,Not Adjusted,29893,31463,1570,5.0
1439,2006,December,Harrison                                             ,County,Not Adjusted,30498,31822,1324,4.2
1440,2006,March,Hartley                                              ,County,Not Adjusted,2035,2122,87,4.1
1441,2006,June,Hartley                                              ,County,Not Adjusted,2195,2294,99,4.3
1442,2006,September,Hartley                                              ,County,Not Adjusted,2110,2202,92,4.2
1443,2006,December,Hartley                                              ,County,Not Adjusted,2202,2272,70,3.1
1444,2006,March,Haskell                                              ,County,Not Adjusted,2904,3025,121,4.0
1445,2006,June,Haskell                                              ,County,Not Adjusted,2964,3089,125,4.0
1446,2006,September,Haskell                                              ,County,Not Adjusted,2710,2827,117,4.1
1447,2006,December,Haskell                                              ,County,Not Adjusted,2775,2870,95,3.3
1448,2006,March,Hays                                                 ,County,Not Adjusted,65341,68337,2996,4.4
1449,2006,June,Hays                                                 ,County,Not Adjusted,66441,69897,3456,4.9
1450,2006,September,Hays                                                 ,County,Not Adjusted,67298,70152,2854,4.1
1451,2006,December,Hays                                                 ,County,Not Adjusted,68413,70823,2410,3.4
1452,2006,March,Hemphill                                             ,County,Not Adjusted,2171,2238,67,3.0
1453,2006,June,Hemphill                                             ,County,Not Adjusted,2283,2361,78,3.3
1454,2006,September,Hemphill                                             ,County,Not Adjusted,2322,2382,60,2.5
1455,2006,December,Hemphill                                             ,County,Not Adjusted,2299,2349,50,2.1
1456,2006,March,Henderson                                            ,County,Not Adjusted,32605,34438,1833,5.3
1457,2006,June,Henderson                                            ,County,Not Adjusted,32833,34796,1963,5.6
1458,2006,September,Henderson                                            ,County,Not Adjusted,32762,34541,1779,5.2
1459,2006,December,Henderson                                            ,County,Not Adjusted,32861,34425,1564,4.5
1460,2006,March,Hidalgo                                              ,County,Not Adjusted,246024,266766,20742,7.8
1461,2006,June,Hidalgo                                              ,County,Not Adjusted,244807,266314,21507,8.1
1462,2006,September,Hidalgo                                              ,County,Not Adjusted,244130,262788,18658,7.1
1463,2006,December,Hidalgo                                              ,County,Not Adjusted,254027,272979,18952,6.9
1464,2006,March,Hill                                                 ,County,Not Adjusted,14033,14917,884,5.9
1465,2006,June,Hill                                                 ,County,Not Adjusted,14462,15407,945,6.1
1466,2006,September,Hill                                                 ,County,Not Adjusted,14254,15074,820,5.4
1467,2006,December,Hill                                                 ,County,Not Adjusted,14451,15176,725,4.8
1468,2006,March,Hockley                                              ,County,Not Adjusted,10753,11270,517,4.6
1469,2006,June,Hockley                                              ,County,Not Adjusted,10982,11548,566,4.9
1470,2006,September,Hockley                                              ,County,Not Adjusted,10788,11249,461,4.1
1471,2006,December,Hockley                                              ,County,Not Adjusted,11117,11496,379,3.3
1472,2006,March,Hood                                                 ,County,Not Adjusted,21614,22797,1183,5.2
1473,2006,June,Hood                                                 ,County,Not Adjusted,21873,23141,1268,5.5
1474,2006,September,Hood                                                 ,County,Not Adjusted,22270,23380,1110,4.7
1475,2006,December,Hood                                                 ,County,Not Adjusted,22163,23124,961,4.2
1476,2006,March,Hopkins                                              ,County,Not Adjusted,16434,17180,746,4.3
1477,2006,June,Hopkins                                              ,County,Not Adjusted,17019,17834,815,4.6
1478,2006,September,Hopkins                                              ,County,Not Adjusted,16653,17377,724,4.2
1479,2006,December,Hopkins                                              ,County,Not Adjusted,16347,16967,620,3.7
1480,2006,March,Houston                                              ,County,Not Adjusted,7537,8053,516,6.4
1481,2006,June,Houston                                              ,County,Not Adjusted,7661,8223,562,6.8
1482,2006,September,Houston                                              ,County,Not Adjusted,7426,7913,487,6.2
1483,2006,December,Houston                                              ,County,Not Adjusted,7549,7960,411,5.2
1484,2006,March,Howard                                               ,County,Not Adjusted,12775,13475,700,5.2
1485,2006,June,Howard                                               ,County,Not Adjusted,13068,13836,768,5.6
1486,2006,September,Howard                                               ,County,Not Adjusted,13077,13713,636,4.6
1487,2006,December,Howard                                               ,County,Not Adjusted,13325,13834,509,3.7
1488,2006,March,Hudspeth                                             ,County,Not Adjusted,1204,1325,121,9.1
1489,2006,June,Hudspeth                                             ,County,Not Adjusted,1312,1418,106,7.5
1490,2006,September,Hudspeth                                             ,County,Not Adjusted,1405,1496,91,6.1
1491,2006,December,Hudspeth                                             ,County,Not Adjusted,1396,1472,76,5.2
1492,2006,March,Hunt                                                 ,County,Not Adjusted,35952,38059,2107,5.5
1493,2006,June,Hunt                                                 ,County,Not Adjusted,36463,38769,2306,5.9
1494,2006,September,Hunt                                                 ,County,Not Adjusted,36596,38577,1981,5.1
1495,2006,December,Hunt                                                 ,County,Not Adjusted,37005,38749,1744,4.5
1496,2006,March,Hutchinson                                           ,County,Not Adjusted,10234,10683,449,4.2
1497,2006,June,Hutchinson                                           ,County,Not Adjusted,10669,11220,551,4.9
1498,2006,September,Hutchinson                                           ,County,Not Adjusted,10772,11280,508,4.5
1499,2006,December,Hutchinson                                           ,County,Not Adjusted,10700,11125,425,3.8
1500,2006,March,Irion                                                ,County,Not Adjusted,950,988,38,3.8
1501,2006,June,Irion                                                ,County,Not Adjusted,969,1013,44,4.3
1502,2006,September,Irion                                                ,County,Not Adjusted,949,981,32,3.3
1503,2006,December,Irion                                                ,County,Not Adjusted,959,983,24,2.4
1504,2006,March,Jack                                                 ,County,Not Adjusted,4024,4216,192,4.6
1505,2006,June,Jack                                                 ,County,Not Adjusted,4176,4378,202,4.6
1506,2006,September,Jack                                                 ,County,Not Adjusted,4204,4388,184,4.2
1507,2006,December,Jack                                                 ,County,Not Adjusted,4378,4527,149,3.3
1508,2006,March,Jackson                                              ,County,Not Adjusted,6020,6324,304,4.8
1509,2006,June,Jackson                                              ,County,Not Adjusted,6285,6617,332,5.0
1510,2006,September,Jackson                                              ,County,Not Adjusted,6089,6369,280,4.4
1511,2006,December,Jackson                                              ,County,Not Adjusted,6211,6446,235,3.6
1512,2006,March,Jasper                                               ,County,Not Adjusted,14410,15448,1038,6.7
1513,2006,June,Jasper                                               ,County,Not Adjusted,14801,15881,1080,6.8
1514,2006,September,Jasper                                               ,County,Not Adjusted,14797,15725,928,5.9
1515,2006,December,Jasper                                               ,County,Not Adjusted,14882,15761,879,5.6
1516,2006,March,Jeff Davis                                           ,County,Not Adjusted,1136,1189,53,4.5
1517,2006,June,Jeff Davis                                           ,County,Not Adjusted,1195,1249,54,4.3
1518,2006,September,Jeff Davis                                           ,County,Not Adjusted,1115,1160,45,3.9
1519,2006,December,Jeff Davis                                           ,County,Not Adjusted,1156,1195,39,3.3
1520,2006,March,Jefferson                                            ,County,Not Adjusted,105230,112388,7158,6.4
1521,2006,June,Jefferson                                            ,County,Not Adjusted,104832,112224,7392,6.6
1522,2006,September,Jefferson                                            ,County,Not Adjusted,105203,111729,6526,5.8
1523,2006,December,Jefferson                                            ,County,Not Adjusted,106966,112853,5887,5.2
1524,2006,March,Jim Hogg                                             ,County,Not Adjusted,2510,2627,117,4.5
1525,2006,June,Jim Hogg                                             ,County,Not Adjusted,2538,2677,139,5.2
1526,2006,September,Jim Hogg                                             ,County,Not Adjusted,2657,2768,111,4.0
1527,2006,December,Jim Hogg                                             ,County,Not Adjusted,2625,2714,89,3.3
1528,2006,March,Jim Wells                                            ,County,Not Adjusted,18962,19930,968,4.9
1529,2006,June,Jim Wells                                            ,County,Not Adjusted,19634,20761,1127,5.4
1530,2006,September,Jim Wells                                            ,County,Not Adjusted,19797,20744,947,4.6
1531,2006,December,Jim Wells                                            ,County,Not Adjusted,20048,20880,832,4.0
1532,2006,March,Johnson                                              ,County,Not Adjusted,68485,71969,3484,4.8
1533,2006,June,Johnson                                              ,County,Not Adjusted,68946,72788,3842,5.3
1534,2006,September,Johnson                                              ,County,Not Adjusted,69498,72868,3370,4.6
1535,2006,December,Johnson                                              ,County,Not Adjusted,70529,73390,2861,3.9
1536,2006,March,Jones                                                ,County,Not Adjusted,7482,7931,449,5.7
1537,2006,June,Jones                                                ,County,Not Adjusted,7636,8125,489,6.0
1538,2006,September,Jones                                                ,County,Not Adjusted,7572,7992,420,5.3
1539,2006,December,Jones                                                ,County,Not Adjusted,7606,7940,334,4.2
1540,2006,March,Karnes                                               ,County,Not Adjusted,5018,5337,319,6.0
1541,2006,June,Karnes                                               ,County,Not Adjusted,5142,5543,401,7.2
1542,2006,September,Karnes                                               ,County,Not Adjusted,4938,5264,326,6.2
1543,2006,December,Karnes                                               ,County,Not Adjusted,4899,5162,263,5.1
1544,2006,March,Kaufman                                              ,County,Not Adjusted,41582,43869,2287,5.2
1545,2006,June,Kaufman                                              ,County,Not Adjusted,42174,44622,2448,5.5
1546,2006,September,Kaufman                                              ,County,Not Adjusted,42327,44556,2229,5.0
1547,2006,December,Kaufman                                              ,County,Not Adjusted,42801,44822,2021,4.5
1548,2006,March,Kendall                                              ,County,Not Adjusted,14344,14962,618,4.1
1549,2006,June,Kendall                                              ,County,Not Adjusted,14483,15154,671,4.4
1550,2006,September,Kendall                                              ,County,Not Adjusted,14539,15114,575,3.8
1551,2006,December,Kendall                                              ,County,Not Adjusted,14642,15143,501,3.3
1552,2006,March,Kenedy                                               ,County,Not Adjusted,234,240,6,2.5
1553,2006,June,Kenedy                                               ,County,Not Adjusted,238,245,7,2.9
1554,2006,September,Kenedy                                               ,County,Not Adjusted,235,241,6,2.5
1555,2006,December,Kenedy                                               ,County,Not Adjusted,240,247,7,2.8
1556,2006,March,Kent                                                 ,County,Not Adjusted,371,388,17,4.4
1557,2006,June,Kent                                                 ,County,Not Adjusted,415,432,17,3.9
1558,2006,September,Kent                                                 ,County,Not Adjusted,385,401,16,4.0
1559,2006,December,Kent                                                 ,County,Not Adjusted,400,416,16,3.8
1560,2006,March,Kerr                                                 ,County,Not Adjusted,21388,22340,952,4.3
1561,2006,June,Kerr                                                 ,County,Not Adjusted,22069,23122,1053,4.6
1562,2006,September,Kerr                                                 ,County,Not Adjusted,21377,22277,900,4.0
1563,2006,December,Kerr                                                 ,County,Not Adjusted,21583,22317,734,3.3
1564,2006,March,Kimble                                               ,County,Not Adjusted,2140,2232,92,4.1
1565,2006,June,Kimble                                               ,County,Not Adjusted,2204,2297,93,4.0
1566,2006,September,Kimble                                               ,County,Not Adjusted,2079,2163,84,3.9
1567,2006,December,Kimble                                               ,County,Not Adjusted,2159,2227,68,3.1
1568,2006,March,King                                                 ,County,Not Adjusted,144,150,6,4.0
1569,2006,June,King                                                 ,County,Not Adjusted,172,182,10,5.5
1570,2006,September,King                                                 ,County,Not Adjusted,149,155,6,3.9
1571,2006,December,King                                                 ,County,Not Adjusted,158,166,8,4.8
1572,2006,March,Kinney                                               ,County,Not Adjusted,1215,1307,92,7.0
1573,2006,June,Kinney                                               ,County,Not Adjusted,1237,1317,80,6.1
1574,2006,September,Kinney                                               ,County,Not Adjusted,1227,1291,64,5.0
1575,2006,December,Kinney                                               ,County,Not Adjusted,1325,1393,68,4.9
1576,2006,March,Kleberg                                              ,County,Not Adjusted,15319,16059,740,4.6
1577,2006,June,Kleberg                                              ,County,Not Adjusted,15565,16432,867,5.3
1578,2006,September,Kleberg                                              ,County,Not Adjusted,15372,16086,714,4.4
1579,2006,December,Kleberg                                              ,County,Not Adjusted,15652,16298,646,4.0
1580,2006,March,Knox                                                 ,County,Not Adjusted,1640,1718,78,4.5
1581,2006,June,Knox                                                 ,County,Not Adjusted,1757,1845,88,4.8
1582,2006,September,Knox                                                 ,County,Not Adjusted,1676,1743,67,3.8
1583,2006,December,Knox                                                 ,County,Not Adjusted,1723,1782,59,3.3
1584,2006,March,Lamar                                                ,County,Not Adjusted,22059,23413,1354,5.8
1585,2006,June,Lamar                                                ,County,Not Adjusted,22430,23854,1424,6.0
1586,2006,September,Lamar                                                ,County,Not Adjusted,22498,23725,1227,5.2
1587,2006,December,Lamar                                                ,County,Not Adjusted,22478,23580,1102,4.7
1588,2006,March,Lamb                                                 ,County,Not Adjusted,6581,6925,344,5.0
1589,2006,June,Lamb                                                 ,County,Not Adjusted,6985,7365,380,5.2
1590,2006,September,Lamb                                                 ,County,Not Adjusted,6704,7020,316,4.5
1591,2006,December,Lamb                                                 ,County,Not Adjusted,6729,6979,250,3.6
1592,2006,March,Lampasas                                             ,County,Not Adjusted,9920,10344,424,4.1
1593,2006,June,Lampasas                                             ,County,Not Adjusted,10102,10610,508,4.8
1594,2006,September,Lampasas                                             ,County,Not Adjusted,10071,10471,400,3.8
1595,2006,December,Lampasas                                             ,County,Not Adjusted,10247,10592,345,3.3
1596,2006,March,La Salle                                             ,County,Not Adjusted,2443,2588,145,5.6
1597,2006,June,La Salle                                             ,County,Not Adjusted,2627,2792,165,5.9
1598,2006,September,La Salle                                             ,County,Not Adjusted,2694,2824,130,4.6
1599,2006,December,La Salle                                             ,County,Not Adjusted,2601,2724,123,4.5
1600,2006,March,Lavaca                                               ,County,Not Adjusted,9814,10224,410,4.0
1601,2006,June,Lavaca                                               ,County,Not Adjusted,10109,10529,420,4.0
1602,2006,September,Lavaca                                               ,County,Not Adjusted,9804,10163,359,3.5
1603,2006,December,Lavaca                                               ,County,Not Adjusted,9855,10155,300,3.0
1604,2006,March,Lee                                                  ,County,Not Adjusted,8257,8625,368,4.3
1605,2006,June,Lee                                                  ,County,Not Adjusted,8541,8967,426,4.8
1606,2006,September,Lee                                                  ,County,Not Adjusted,8446,8785,339,3.9
1607,2006,December,Lee                                                  ,County,Not Adjusted,8597,8874,277,3.1
1608,2006,March,Leon                                                 ,County,Not Adjusted,7141,7523,382,5.1
1609,2006,June,Leon                                                 ,County,Not Adjusted,7368,7807,439,5.6
1610,2006,September,Leon                                                 ,County,Not Adjusted,7247,7623,376,4.9
1611,2006,December,Leon                                                 ,County,Not Adjusted,7254,7572,318,4.2
1612,2006,March,Liberty                                              ,County,Not Adjusted,28601,30359,1758,5.8
1613,2006,June,Liberty                                              ,County,Not Adjusted,28705,30778,2073,6.7
1614,2006,September,Liberty                                              ,County,Not Adjusted,29072,30847,1775,5.8
1615,2006,December,Liberty                                              ,County,Not Adjusted,29554,31076,1522,4.9
1616,2006,March,Limestone                                            ,County,Not Adjusted,9690,10200,510,5.0
1617,2006,June,Limestone                                            ,County,Not Adjusted,9890,10452,562,5.4
1618,2006,September,Limestone                                            ,County,Not Adjusted,9749,10224,475,4.6
1619,2006,December,Limestone                                            ,County,Not Adjusted,9805,10198,393,3.9
1620,2006,March,Lipscomb                                             ,County,Not Adjusted,1588,1649,61,3.7
1621,2006,June,Lipscomb                                             ,County,Not Adjusted,1663,1728,65,3.8
1622,2006,September,Lipscomb                                             ,County,Not Adjusted,1699,1756,57,3.2
1623,2006,December,Lipscomb                                             ,County,Not Adjusted,1737,1785,48,2.7
1624,2006,March,Live Oak                                             ,County,Not Adjusted,4696,4927,231,4.7
1625,2006,June,Live Oak                                             ,County,Not Adjusted,4856,5123,267,5.2
1626,2006,September,Live Oak                                             ,County,Not Adjusted,4951,5174,223,4.3
1627,2006,December,Live Oak                                             ,County,Not Adjusted,4887,5072,185,3.6
1628,2006,March,Llano                                                ,County,Not Adjusted,7637,8041,404,5.0
1629,2006,June,Llano                                                ,County,Not Adjusted,8000,8425,425,5.0
1630,2006,September,Llano                                                ,County,Not Adjusted,7730,8106,376,4.6
1631,2006,December,Llano                                                ,County,Not Adjusted,7723,8024,301,3.8
1632,2006,March,Loving                                               ,County,Not Adjusted,33,37,4,10.8
1633,2006,June,Loving                                               ,County,Not Adjusted,35,39,4,10.3
1634,2006,September,Loving                                               ,County,Not Adjusted,34,38,4,10.5
1635,2006,December,Loving                                               ,County,Not Adjusted,37,41,4,9.8
1636,2006,March,Lubbock                                              ,County,Not Adjusted,131435,137479,6044,4.4
1637,2006,June,Lubbock                                              ,County,Not Adjusted,130207,136869,6662,4.9
1638,2006,September,Lubbock                                              ,County,Not Adjusted,132722,138018,5296,3.8
1639,2006,December,Lubbock                                              ,County,Not Adjusted,133859,138136,4277,3.1
1640,2006,March,Lynn                                                 ,County,Not Adjusted,2485,2649,164,6.2
1641,2006,June,Lynn                                                 ,County,Not Adjusted,2724,2909,185,6.4
1642,2006,September,Lynn                                                 ,County,Not Adjusted,2605,2760,155,5.6
1643,2006,December,Lynn                                                 ,County,Not Adjusted,2641,2762,121,4.4
1644,2006,March,McCulloch                                            ,County,Not Adjusted,3490,3667,177,4.8
1645,2006,June,McCulloch                                            ,County,Not Adjusted,3587,3781,194,5.1
1646,2006,September,McCulloch                                            ,County,Not Adjusted,3525,3690,165,4.5
1647,2006,December,McCulloch                                            ,County,Not Adjusted,3671,3803,132,3.5
1648,2006,March,McLennan                                             ,County,Not Adjusted,105538,111223,5685,5.1
1649,2006,June,McLennan                                             ,County,Not Adjusted,106109,112469,6360,5.7
1650,2006,September,McLennan                                             ,County,Not Adjusted,106991,112180,5189,4.6
1651,2006,December,McLennan                                             ,County,Not Adjusted,106858,111157,4299,3.9
1652,2006,March,McMullen                                             ,County,Not Adjusted,320,339,19,5.6
1653,2006,June,McMullen                                             ,County,Not Adjusted,332,355,23,6.5
1654,2006,September,McMullen                                             ,County,Not Adjusted,314,331,17,5.1
1655,2006,December,McMullen                                             ,County,Not Adjusted,324,341,17,5.0
1656,2006,March,Madison                                              ,County,Not Adjusted,4562,4835,273,5.6
1657,2006,June,Madison                                              ,County,Not Adjusted,4773,5071,298,5.9
1658,2006,September,Madison                                              ,County,Not Adjusted,4670,4921,251,5.1
1659,2006,December,Madison                                              ,County,Not Adjusted,4803,5020,217,4.3
1660,2006,March,Marion                                               ,County,Not Adjusted,4716,5002,286,5.7
1661,2006,June,Marion                                               ,County,Not Adjusted,4743,5035,292,5.8
1662,2006,September,Marion                                               ,County,Not Adjusted,4690,4948,258,5.2
1663,2006,December,Marion                                               ,County,Not Adjusted,4741,4958,217,4.4
1664,2006,March,Martin                                               ,County,Not Adjusted,1957,2055,98,4.8
1665,2006,June,Martin                                               ,County,Not Adjusted,2107,2210,103,4.7
1666,2006,September,Martin                                               ,County,Not Adjusted,2044,2127,83,3.9
1667,2006,December,Martin                                               ,County,Not Adjusted,2098,2163,65,3.0
1668,2006,March,Mason                                                ,County,Not Adjusted,2344,2414,70,2.9
1669,2006,June,Mason                                                ,County,Not Adjusted,2430,2521,91,3.6
1670,2006,September,Mason                                                ,County,Not Adjusted,2414,2488,74,3.0
1671,2006,December,Mason                                                ,County,Not Adjusted,2392,2454,62,2.5
1672,2006,March,Matagorda                                            ,County,Not Adjusted,14613,15751,1138,7.2
1673,2006,June,Matagorda                                            ,County,Not Adjusted,15083,16434,1351,8.2
1674,2006,September,Matagorda                                            ,County,Not Adjusted,14990,16056,1066,6.6
1675,2006,December,Matagorda                                            ,County,Not Adjusted,15211,16159,948,5.9
1676,2006,March,Maverick                                             ,County,Not Adjusted,16909,20276,3367,16.6
1677,2006,June,Maverick                                             ,County,Not Adjusted,16913,19258,2345,12.2
1678,2006,September,Maverick                                             ,County,Not Adjusted,17063,18728,1665,8.9
1679,2006,December,Maverick                                             ,County,Not Adjusted,17624,20305,2681,13.2
1680,2006,March,Medina                                               ,County,Not Adjusted,18677,19608,931,4.7
1681,2006,June,Medina                                               ,County,Not Adjusted,18858,19864,1006,5.1
1682,2006,September,Medina                                               ,County,Not Adjusted,18931,19829,898,4.5
1683,2006,December,Medina                                               ,County,Not Adjusted,19065,19827,762,3.8
1684,2006,March,Menard                                               ,County,Not Adjusted,1003,1044,41,3.9
1685,2006,June,Menard                                               ,County,Not Adjusted,1033,1083,50,4.6
1686,2006,September,Menard                                               ,County,Not Adjusted,1030,1074,44,4.1
1687,2006,December,Menard                                               ,County,Not Adjusted,1049,1088,39,3.6
1688,2006,March,Midland                                              ,County,Not Adjusted,65550,67937,2387,3.5
1689,2006,June,Midland                                              ,County,Not Adjusted,67271,70006,2735,3.9
1690,2006,September,Midland                                              ,County,Not Adjusted,68211,70548,2337,3.3
1691,2006,December,Midland                                              ,County,Not Adjusted,68933,70811,1878,2.7
1692,2006,March,Milam                                                ,County,Not Adjusted,11123,11709,586,5.0
1693,2006,June,Milam                                                ,County,Not Adjusted,11559,12199,640,5.2
1694,2006,September,Milam                                                ,County,Not Adjusted,11682,12213,531,4.3
1695,2006,December,Milam                                                ,County,Not Adjusted,12046,12481,435,3.5
1696,2006,March,Mills                                                ,County,Not Adjusted,2295,2388,93,3.9
1697,2006,June,Mills                                                ,County,Not Adjusted,2427,2549,122,4.8
1698,2006,September,Mills                                                ,County,Not Adjusted,2230,2327,97,4.2
1699,2006,December,Mills                                                ,County,Not Adjusted,2294,2376,82,3.5
1700,2006,March,Mitchell                                             ,County,Not Adjusted,3139,3358,219,6.5
1701,2006,June,Mitchell                                             ,County,Not Adjusted,3190,3419,229,6.7
1702,2006,September,Mitchell                                             ,County,Not Adjusted,3160,3347,187,5.6
1703,2006,December,Mitchell                                             ,County,Not Adjusted,3172,3318,146,4.4
1704,2006,March,Montague                                             ,County,Not Adjusted,9301,9736,435,4.5
1705,2006,June,Montague                                             ,County,Not Adjusted,9720,10191,471,4.6
1706,2006,September,Montague                                             ,County,Not Adjusted,9637,10034,397,4.0
1707,2006,December,Montague                                             ,County,Not Adjusted,9719,10048,329,3.3
1708,2006,March,Montgomery                                           ,County,Not Adjusted,184789,193844,9055,4.7
1709,2006,June,Montgomery                                           ,County,Not Adjusted,185458,195237,9779,5.0
1710,2006,September,Montgomery                                           ,County,Not Adjusted,187830,196190,8360,4.3
1711,2006,December,Montgomery                                           ,County,Not Adjusted,190940,198049,7109,3.6
1712,2006,March,Moore                                                ,County,Not Adjusted,9718,10083,365,3.6
1713,2006,June,Moore                                                ,County,Not Adjusted,10251,10674,423,4.0
1714,2006,September,Moore                                                ,County,Not Adjusted,10017,10364,347,3.3
1715,2006,December,Moore                                                ,County,Not Adjusted,9982,10258,276,2.7
1716,2006,March,Morris                                               ,County,Not Adjusted,5795,6120,325,5.3
1717,2006,June,Morris                                               ,County,Not Adjusted,5870,6242,372,6.0
1718,2006,September,Morris                                               ,County,Not Adjusted,5820,6159,339,5.5
1719,2006,December,Morris                                               ,County,Not Adjusted,5797,6096,299,4.9
1720,2006,March,Motley                                               ,County,Not Adjusted,573,599,26,4.3
1721,2006,June,Motley                                               ,County,Not Adjusted,636,664,28,4.2
1722,2006,September,Motley                                               ,County,Not Adjusted,606,630,24,3.8
1723,2006,December,Motley                                               ,County,Not Adjusted,616,639,23,3.6
1724,2006,March,Nacogdoches                                          ,County,Not Adjusted,29319,30844,1525,4.9
1725,2006,June,Nacogdoches                                          ,County,Not Adjusted,29579,31339,1760,5.6
1726,2006,September,Nacogdoches                                          ,County,Not Adjusted,29192,30605,1413,4.6
1727,2006,December,Nacogdoches                                          ,County,Not Adjusted,29492,30664,1172,3.8
1728,2006,March,Navarro                                              ,County,Not Adjusted,19789,21024,1235,5.9
1729,2006,June,Navarro                                              ,County,Not Adjusted,19757,21152,1395,6.6
1730,2006,September,Navarro                                              ,County,Not Adjusted,19862,20998,1136,5.4
1731,2006,December,Navarro                                              ,County,Not Adjusted,20062,21030,968,4.6
1732,2006,March,Newton                                               ,County,Not Adjusted,5181,5594,413,7.4
1733,2006,June,Newton                                               ,County,Not Adjusted,5324,5768,444,7.7
1734,2006,September,Newton                                               ,County,Not Adjusted,5270,5669,399,7.0
1735,2006,December,Newton                                               ,County,Not Adjusted,5391,5788,397,6.9
1736,2006,March,Nolan                                                ,County,Not Adjusted,7247,7595,348,4.6
1737,2006,June,Nolan                                                ,County,Not Adjusted,7389,7757,368,4.7
1738,2006,September,Nolan                                                ,County,Not Adjusted,7226,7534,308,4.1
1739,2006,December,Nolan                                                ,County,Not Adjusted,7239,7512,273,3.6
1740,2006,March,Nueces                                               ,County,Not Adjusted,149587,157435,7848,5.0
1741,2006,June,Nueces                                               ,County,Not Adjusted,149410,158175,8765,5.5
1742,2006,September,Nueces                                               ,County,Not Adjusted,149712,157278,7566,4.8
1743,2006,December,Nueces                                               ,County,Not Adjusted,151366,158090,6724,4.3
1744,2006,March,Ochiltree                                            ,County,Not Adjusted,4802,4958,156,3.1
1745,2006,June,Ochiltree                                            ,County,Not Adjusted,5080,5260,180,3.4
1746,2006,September,Ochiltree                                            ,County,Not Adjusted,4951,5105,154,3.0
1747,2006,December,Ochiltree                                            ,County,Not Adjusted,5066,5190,124,2.4
1748,2006,March,Oldham                                               ,County,Not Adjusted,954,995,41,4.1
1749,2006,June,Oldham                                               ,County,Not Adjusted,1025,1076,51,4.7
1750,2006,September,Oldham                                               ,County,Not Adjusted,944,985,41,4.2
1751,2006,December,Oldham                                               ,County,Not Adjusted,979,1015,36,3.5
1752,2006,March,Orange                                               ,County,Not Adjusted,38621,41164,2543,6.2
1753,2006,June,Orange                                               ,County,Not Adjusted,38475,41170,2695,6.5
1754,2006,September,Orange                                               ,County,Not Adjusted,38611,40930,2319,5.7
1755,2006,December,Orange                                               ,County,Not Adjusted,39258,41331,2073,5.0
1756,2006,March,Palo Pinto                                           ,County,Not Adjusted,13542,14188,646,4.6
1757,2006,June,Palo Pinto                                           ,County,Not Adjusted,14069,14767,698,4.7
1758,2006,September,Palo Pinto                                           ,County,Not Adjusted,13908,14519,611,4.2
1759,2006,December,Palo Pinto                                           ,County,Not Adjusted,13609,14139,530,3.7
1760,2006,March,Panola                                               ,County,Not Adjusted,11223,11752,529,4.5
1761,2006,June,Panola                                               ,County,Not Adjusted,11584,12170,586,4.8
1762,2006,September,Panola                                               ,County,Not Adjusted,11591,12099,508,4.2
1763,2006,December,Panola                                               ,County,Not Adjusted,11590,12046,456,3.8
1764,2006,March,Parker                                               ,County,Not Adjusted,48944,51403,2459,4.8
1765,2006,June,Parker                                               ,County,Not Adjusted,49272,51985,2713,5.2
1766,2006,September,Parker                                               ,County,Not Adjusted,49667,52050,2383,4.6
1767,2006,December,Parker                                               ,County,Not Adjusted,50405,52459,2054,3.9
1768,2006,March,Parmer                                               ,County,Not Adjusted,4120,4296,176,4.1
1769,2006,June,Parmer                                               ,County,Not Adjusted,4274,4473,199,4.4
1770,2006,September,Parmer                                               ,County,Not Adjusted,4218,4377,159,3.6
1771,2006,December,Parmer                                               ,County,Not Adjusted,4337,4463,126,2.8
1772,2006,March,Pecos                                                ,County,Not Adjusted,6204,6530,326,5.0
1773,2006,June,Pecos                                                ,County,Not Adjusted,6570,6953,383,5.5
1774,2006,September,Pecos                                                ,County,Not Adjusted,6429,6725,296,4.4
1775,2006,December,Pecos                                                ,County,Not Adjusted,6443,6683,240,3.6
1776,2006,March,Polk                                                 ,County,Not Adjusted,15731,16786,1055,6.3
1777,2006,June,Polk                                                 ,County,Not Adjusted,16075,17222,1147,6.7
1778,2006,September,Polk                                                 ,County,Not Adjusted,15914,16920,1006,5.9
1779,2006,December,Polk                                                 ,County,Not Adjusted,15914,16804,890,5.3
1780,2006,March,Potter                                               ,County,Not Adjusted,54611,57173,2562,4.5
1781,2006,June,Potter                                               ,County,Not Adjusted,55433,58231,2798,4.8
