CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH),"(percentage) HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",(percentage) HMIS Participation Rate for Year-Round Beds (ES),(percentage) HMIS Participation Rate for Year-Round Beds (TH),(percentage) HMIS Participation Rate for Year-Round Beds (RRH),(percentage) HMIS Participation Rate for Year-Round Beds (PSH)
9.0,248.0,158.0,133.0,244.0,4.0,0.0,25.0,124.0,114.0,10.0,0.0,10.0,154.0,129.0,0.0,0.0,24.0,120.0,114.0,10.0,0.0,10.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,194.0,72.0,180.0,14.0,0.0,17.0,10.0,449.0,449.0,92.0,357.0,357.0,92.0,0.0,357.0,0.0,0.0,61.0,61.0,61.0,6.0,32.0,29.0,0.0,0.0,0.0,53.63,52.87,100.0,100.0,20.49
9.0,367.0,352.0,304.0,228.0,139.0,0.0,18.0,78.0,256.0,33.0,15.0,33.0,213.0,180.0,0.0,0.0,7.0,37.0,158.0,33.0,0.0,33.0,139.0,124.0,11.0,41.0,98.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,189.0,189.0,189.0,11.0,44.0,145.0,0.0,2.0,0.0,54.0,18.0,18.0,18.0,4.0,10.0,8.0,0.0,0.0,0.0,82.83,78.95,89.21,100.0,100.0
9.0,540.0,385.0,376.0,412.0,128.0,0.0,72.0,307.0,233.0,0.0,38.0,75.0,287.0,278.0,0.0,6.0,65.0,277.0,135.0,0.0,18.0,50.0,98.0,98.0,7.0,30.0,98.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,540.0,540.0,136.0,385.0,203.0,0.0,50.0,139.0,1111.0,1111.0,1111.0,115.0,433.0,678.0,0.0,593.0,60.0,503.0,109.0,109.0,109.0,22.0,109.0,0.0,0.0,0.0,0.0,69.63,67.48,76.56,91.84,100.0
9.0,438.0,351.0,41.0,232.0,206.0,0.0,48.0,146.0,284.0,8.0,6.0,8.0,172.0,0.0,0.0,10.0,28.0,92.0,140.0,0.0,0.0,0.0,179.0,41.0,20.0,54.0,144.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.0,53.0,111.0,30.0,0.0,9.0,0.0,30.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0,19.9,100.0,0.0
10.0,2731.0,2731.0,2349.0,1528.0,1203.0,0.0,137.0,771.0,1956.0,4.0,148.0,109.0,1528.0,1407.0,148.0,67.0,81.0,444.0,1084.0,0.0,25.0,62.0,1203.0,942.0,56.0,327.0,872.0,4.0,123.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,679.0,654.0,170.0,570.0,140.0,0.0,150.0,65.0,1743.0,1743.0,1743.0,148.0,448.0,1295.0,0.0,392.0,44.0,1687.0,222.0,222.0,127.0,52.0,126.0,96.0,0.0,0.0,0.0,86.01,92.08,78.3,92.11,100.0
10.0,2651.0,1590.0,1093.0,1833.0,818.0,0.0,472.0,1554.0,1071.0,26.0,50.0,40.0,1068.0,751.0,0.0,7.0,303.0,963.0,844.0,26.0,25.0,29.0,522.0,342.0,169.0,591.0,227.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725.0,1537.0,1537.0,418.0,1499.0,226.0,0.0,149.0,8.0,2498.0,2469.0,2390.0,455.0,879.0,1619.0,0.0,478.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.23,40.97,41.81,89.1,95.68
10.0,247.0,247.0,199.0,67.0,180.0,0.0,70.0,204.0,43.0,0.0,34.0,4.0,67.0,67.0,0.0,0.0,19.0,53.0,14.0,0.0,0.0,0.0,180.0,132.0,51.0,151.0,29.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,26.0,66.0,5.0,0.0,4.0,0.0,376.0,346.0,136.0,86.0,224.0,152.0,0.0,249.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.57,100.0,73.33,100.0,36.17
10.0,190.0,168.0,117.0,172.0,18.0,0.0,21.0,80.0,110.0,0.0,0.0,5.0,150.0,99.0,0.0,0.0,15.0,62.0,110.0,0.0,0.0,5.0,18.0,18.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,38.0,16.0,32.0,7.0,0.0,1.0,0.0,210.0,210.0,90.0,22.0,67.0,143.0,0.0,122.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.58,57.56,100.0,97.44,42.86
10.0,269.0,226.0,135.0,235.0,34.0,0.0,31.0,146.0,123.0,0.0,7.0,0.0,192.0,101.0,0.0,0.0,31.0,146.0,89.0,0.0,6.0,0.0,34.0,34.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,94.0,29.0,77.0,17.0,0.0,1.0,0.0,202.0,202.0,162.0,19.0,30.0,172.0,0.0,56.0,0.0,202.0,28.0,28.0,28.0,0.0,0.0,28.0,0.0,1.0,0.0,50.19,42.98,100.0,100.0,80.2
10.0,305.0,210.0,183.0,141.0,164.0,0.0,42.0,148.0,157.0,0.0,0.0,0.0,101.0,88.0,0.0,15.0,24.0,81.0,60.0,0.0,0.0,0.0,109.0,95.0,18.0,67.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,62.0,62.0,20.0,65.0,15.0,0.0,9.0,0.0,453.0,453.0,117.0,56.0,216.0,237.0,0.0,359.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,62.41,57.93,77.5,25.83
10.0,227.0,150.0,130.0,79.0,148.0,0.0,46.0,186.0,41.0,0.0,0.0,4.0,30.0,30.0,4.0,0.0,12.0,76.0,3.0,0.0,0.0,0.0,120.0,100.0,34.0,110.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,230.0,62.0,213.0,23.0,0.0,45.0,22.0,1797.0,1797.0,1576.0,276.0,702.0,1095.0,0.0,1020.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.27,37.97,67.57,97.46,87.7
11.0,145.0,94.0,89.0,131.0,14.0,0.0,26.0,92.0,34.0,19.0,5.0,24.0,88.0,83.0,0.0,7.0,22.0,87.0,26.0,18.0,5.0,18.0,6.0,6.0,4.0,5.0,8.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,5.0,22.0,6.0,0.0,8.0,0.0,191.0,191.0,85.0,24.0,89.0,102.0,0.0,106.0,0.0,81.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,61.38,63.36,42.86,100.0,44.5
12.0,895.0,791.0,791.0,487.0,408.0,0.0,196.0,587.0,308.0,0.0,15.0,0.0,402.0,402.0,0.0,0.0,63.0,230.0,257.0,0.0,15.0,0.0,389.0,389.0,133.0,357.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,295.0,295.0,63.0,250.0,45.0,0.0,28.0,0.0,667.0,667.0,667.0,52.0,189.0,478.0,0.0,266.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.38,82.55,95.34,100.0,100.0
12.0,2489.0,2368.0,2316.0,1568.0,879.0,42.0,305.0,1232.0,1257.0,0.0,347.0,67.0,1501.0,1471.0,0.0,4.0,143.0,608.0,960.0,0.0,223.0,49.0,825.0,803.0,162.0,624.0,255.0,0.0,82.0,18.0,42.0,42.0,0.0,0.0,42.0,0.0,42.0,0.0,895.0,895.0,895.0,159.0,536.0,350.0,9.0,296.0,106.0,1887.0,1887.0,1887.0,236.0,423.0,1454.0,10.0,920.0,45.0,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.05,93.81,91.35,100.0,100.0
13.0,243.0,203.0,81.0,162.0,81.0,0.0,39.0,125.0,118.0,0.0,0.0,0.0,122.0,0.0,116.0,0.0,20.0,55.0,107.0,0.0,0.0,0.0,81.0,81.0,19.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,7.0,22.0,5.0,0.0,1.0,0.0,53.0,53.0,53.0,3.0,7.0,46.0,0.0,30.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,100.0,3.7,100.0
13.0,1692.0,1297.0,886.0,1022.0,660.0,10.0,260.0,747.0,904.0,41.0,60.0,83.0,823.0,551.0,235.0,77.0,127.0,354.0,632.0,36.0,0.0,36.0,464.0,325.0,133.0,393.0,262.0,5.0,50.0,47.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,769.0,500.0,500.0,140.0,513.0,256.0,0.0,76.0,12.0,510.0,489.0,188.0,23.0,92.0,418.0,0.0,254.0,0.0,437.0,52.0,52.0,52.0,13.0,37.0,15.0,0.0,0.0,0.0,52.36,53.91,49.24,65.02,36.86
13.0,631.0,581.0,581.0,436.0,181.0,14.0,65.0,159.0,468.0,4.0,19.0,36.0,386.0,386.0,12.0,14.0,49.0,122.0,310.0,4.0,5.0,17.0,181.0,181.0,16.0,37.0,144.0,0.0,0.0,19.0,14.0,14.0,0.0,0.0,14.0,0.0,14.0,0.0,245.0,235.0,235.0,48.0,169.0,76.0,0.0,36.0,25.0,497.0,497.0,497.0,48.0,164.0,333.0,0.0,165.0,0.0,315.0,187.0,187.0,187.0,31.0,134.0,53.0,0.0,12.0,0.0,92.08,88.53,100.0,95.92,100.0
14.0,739.0,615.0,615.0,604.0,135.0,0.0,15.0,194.0,541.0,4.0,80.0,4.0,545.0,545.0,0.0,88.0,9.0,146.0,454.0,4.0,10.0,4.0,70.0,70.0,6.0,48.0,87.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,104.0,35.0,116.0,19.0,0.0,10.0,0.0,396.0,396.0,396.0,32.0,105.0,291.0,0.0,205.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.22,90.23,51.85,77.04,100.0
14.0,838.0,568.0,271.0,590.0,248.0,0.0,169.0,533.0,299.0,6.0,8.0,6.0,386.0,241.0,56.0,34.0,112.0,348.0,236.0,6.0,8.0,6.0,182.0,30.0,57.0,185.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,251.0,210.0,66.0,217.0,41.0,0.0,44.0,4.0,511.0,511.0,472.0,76.0,228.0,283.0,0.0,248.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34,40.85,12.1,81.4,92.37
15.0,182.0,161.0,161.0,108.0,74.0,0.0,15.0,48.0,134.0,0.0,38.0,4.0,87.0,87.0,0.0,0.0,6.0,17.0,91.0,0.0,0.0,4.0,74.0,74.0,9.0,31.0,43.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,27.0,13.0,27.0,9.0,0.0,6.0,0.0,31.0,31.0,31.0,0.0,0.0,30.0,1.0,0.0,1.0,23.0,73.0,73.0,73.0,24.0,69.0,4.0,0.0,0.0,0.0,88.46,80.56,100.0,75.0,100.0
15.0,438.0,324.0,324.0,331.0,107.0,0.0,61.0,197.0,241.0,0.0,15.0,60.0,244.0,244.0,50.0,28.0,38.0,133.0,198.0,0.0,0.0,12.0,80.0,80.0,23.0,64.0,43.0,0.0,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,193.0,46.0,150.0,43.0,0.0,0.0,35.0,484.0,474.0,474.0,54.0,183.0,301.0,0.0,146.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.97,73.72,74.77,100.0,97.93
15.0,165.0,104.0,104.0,67.0,98.0,0.0,37.0,113.0,52.0,0.0,0.0,0.0,10.0,10.0,60.0,73.0,15.0,45.0,22.0,0.0,0.0,0.0,94.0,94.0,22.0,68.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,122.0,122.0,49.0,175.0,29.0,0.0,18.0,0.0,347.0,347.0,327.0,29.0,100.0,247.0,0.0,175.0,0.0,157.0,105.0,0.0,0.0,32.0,97.0,8.0,0.0,0.0,0.0,63.03,14.93,95.92,59.8,94.24
15.0,123.0,59.0,53.0,57.0,66.0,0.0,27.0,74.0,45.0,4.0,2.0,10.0,32.0,30.0,75.0,15.0,13.0,36.0,17.0,4.0,0.0,6.0,27.0,23.0,14.0,38.0,28.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,96.0,96.0,75.0,12.0,27.0,69.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.09,52.63,34.85,100.0,78.13
15.0,56.0,41.0,31.0,46.0,10.0,0.0,15.0,19.0,37.0,0.0,0.0,1.0,31.0,31.0,0.0,0.0,9.0,13.0,33.0,0.0,0.0,1.0,10.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,7.0,45.0,6.0,0.0,7.0,0.0,154.0,154.0,154.0,17.0,58.0,96.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.36,67.39,0.0,100.0,100.0
15.0,322.0,257.0,249.0,186.0,130.0,6.0,31.0,147.0,167.0,8.0,14.0,8.0,142.0,142.0,57.0,4.0,7.0,67.0,119.0,0.0,0.0,0.0,109.0,101.0,24.0,80.0,42.0,8.0,8.0,8.0,6.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,114.0,89.0,64.0,28.0,56.0,58.0,0.0,0.0,7.0,320.0,320.0,320.0,41.0,142.0,178.0,0.0,65.0,0.0,120.0,8.0,8.0,8.0,1.0,5.0,3.0,0.0,3.0,0.0,77.33,76.34,77.69,56.14,100.0
15.0,505.0,458.0,305.0,474.0,27.0,4.0,35.0,171.0,334.0,0.0,14.0,3.0,427.0,298.0,0.0,0.0,35.0,171.0,303.0,0.0,10.0,0.0,27.0,3.0,0.0,0.0,27.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,53.0,53.0,42.0,3.0,11.0,42.0,0.0,11.0,0.0,352.0,329.0,280.0,47.0,168.0,184.0,0.0,64.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,62.87,11.11,79.25,79.55
15.0,187.0,176.0,172.0,61.0,126.0,0.0,41.0,128.0,59.0,0.0,26.0,34.0,50.0,50.0,0.0,0.0,14.0,44.0,17.0,0.0,6.0,0.0,126.0,122.0,27.0,84.0,42.0,0.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,23.0,32.0,10.0,0.0,0.0,0.0,269.0,269.0,269.0,49.0,146.0,123.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.98,81.97,96.83,100.0,100.0
15.0,5339.0,4950.0,4593.0,3948.0,1351.0,40.0,700.0,2379.0,2951.0,9.0,266.0,475.0,3778.0,3534.0,0.0,13.0,470.0,1614.0,2327.0,7.0,75.0,154.0,1132.0,1019.0,230.0,765.0,584.0,2.0,191.0,321.0,40.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,1144.0,1128.0,1128.0,294.0,814.0,330.0,0.0,128.0,16.0,9337.0,9324.0,6459.0,1535.0,3896.0,5441.0,0.0,2206.0,70.0,3767.0,729.0,729.0,557.0,151.0,602.0,127.0,0.0,68.0,34.0,86.03,89.51,75.43,98.6,69.18
15.0,470.0,224.0,224.0,190.0,251.0,29.0,104.0,315.0,150.0,5.0,32.0,73.0,70.0,70.0,469.0,1.0,33.0,126.0,59.0,5.0,6.0,22.0,125.0,125.0,71.0,189.0,62.0,0.0,12.0,51.0,29.0,29.0,0.0,0.0,29.0,0.0,14.0,0.0,395.0,381.0,381.0,92.0,308.0,87.0,0.0,50.0,0.0,1507.0,1461.0,1461.0,131.0,480.0,1027.0,0.0,781.0,0.0,283.0,10.0,10.0,10.0,3.0,6.0,4.0,0.0,0.0,0.0,47.66,36.84,49.8,96.46,96.95
15.0,496.0,427.0,247.0,335.0,161.0,0.0,70.0,160.0,332.0,4.0,27.0,45.0,291.0,139.0,0.0,30.0,31.0,73.0,258.0,4.0,0.0,12.0,136.0,108.0,39.0,87.0,74.0,0.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,33.0,13.0,23.0,29.0,0.0,19.0,0.0,128.0,128.0,128.0,18.0,55.0,73.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,41.49,67.08,63.46,100.0
15.0,315.0,283.0,279.0,133.0,182.0,0.0,52.0,160.0,155.0,0.0,15.0,2.0,101.0,97.0,67.0,0.0,10.0,28.0,105.0,0.0,0.0,1.0,182.0,182.0,42.0,132.0,50.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,0.0,6.0,18.0,6.0,0.0,13.0,0.0,153.0,153.0,98.0,19.0,67.0,86.0,0.0,68.0,0.0,63.0,15.0,15.0,15.0,1.0,2.0,13.0,0.0,0.0,0.0,88.57,72.93,100.0,0.0,64.05
15.0,343.0,302.0,302.0,204.0,136.0,3.0,38.0,168.0,173.0,2.0,5.0,78.0,163.0,163.0,6.0,0.0,5.0,76.0,126.0,2.0,0.0,2.0,136.0,136.0,33.0,92.0,44.0,0.0,2.0,76.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,92.0,92.0,92.0,15.0,55.0,37.0,0.0,1.0,0.0,352.0,352.0,352.0,45.0,163.0,189.0,0.0,34.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.05,79.9,100.0,100.0,100.0
15.0,106.0,58.0,55.0,79.0,27.0,0.0,23.0,68.0,38.0,0.0,0.0,0.0,58.0,47.0,0.0,0.0,14.0,46.0,33.0,0.0,0.0,0.0,0.0,8.0,9.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.0,100.0,22.0,71.0,29.0,0.0,0.0,0.0,41.0,41.0,41.0,7.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89,59.49,29.63,100.0,100.0
15.0,155.0,114.0,108.0,108.0,47.0,0.0,30.0,74.0,78.0,3.0,0.0,3.0,78.0,72.0,25.0,0.0,15.0,41.0,64.0,3.0,0.0,3.0,36.0,36.0,15.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,6.0,16.0,3.0,0.0,0.0,0.0,83.0,83.0,83.0,8.0,21.0,62.0,0.0,10.0,0.0,28.0,65.0,65.0,41.0,22.0,55.0,10.0,0.0,24.0,0.0,69.68,66.67,76.6,100.0,100.0
15.0,417.0,389.0,389.0,399.0,18.0,0.0,33.0,169.0,248.0,0.0,10.0,0.0,371.0,371.0,0.0,29.0,31.0,161.0,238.0,0.0,10.0,0.0,18.0,18.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,5.0,4.0,0.0,4.0,0.0,184.0,184.0,184.0,17.0,74.0,110.0,0.0,6.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.29,92.98,100.0,100.0,100.0
15.0,176.0,133.0,117.0,120.0,56.0,0.0,28.0,91.0,75.0,10.0,6.0,30.0,77.0,61.0,28.0,6.0,9.0,59.0,61.0,0.0,0.0,0.0,56.0,56.0,19.0,32.0,14.0,10.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,50.0,50.0,46.0,6.0,12.0,38.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.48,50.83,100.0,0.0,92.0
15.0,136.0,84.0,72.0,84.0,52.0,0.0,12.0,57.0,75.0,4.0,0.0,16.0,48.0,48.0,0.0,36.0,3.0,28.0,52.0,4.0,0.0,4.0,36.0,24.0,9.0,29.0,23.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,101.0,101.0,101.0,26.0,98.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.94,57.14,46.15,0.0,100.0
15.0,302.0,193.0,163.0,219.0,83.0,0.0,49.0,152.0,150.0,0.0,4.0,0.0,125.0,95.0,0.0,3.0,33.0,105.0,114.0,0.0,0.0,0.0,68.0,68.0,16.0,47.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,31.0,86.0,39.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.97,43.38,81.93,100.0,100.0
16.0,4563.0,3300.0,1895.0,3392.0,1146.0,25.0,621.0,2026.0,2494.0,43.0,199.0,85.0,2486.0,1461.0,176.0,101.0,433.0,1419.0,1930.0,43.0,38.0,50.0,789.0,409.0,188.0,607.0,539.0,0.0,136.0,35.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,678.0,606.0,606.0,153.0,492.0,186.0,0.0,76.0,0.0,2927.0,2927.0,2118.0,357.0,981.0,1946.0,0.0,870.0,0.0,805.0,41.0,41.0,33.0,2.0,8.0,33.0,0.0,0.0,0.0,41.53,43.07,35.69,89.38,72.36
16.0,1258.0,1073.0,979.0,814.0,393.0,51.0,113.0,418.0,829.0,11.0,184.0,19.0,720.0,626.0,278.0,289.0,85.0,323.0,480.0,11.0,24.0,11.0,302.0,302.0,28.0,95.0,298.0,0.0,160.0,8.0,51.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,544.0,377.0,338.0,89.0,367.0,177.0,0.0,174.0,16.0,1304.0,1260.0,840.0,131.0,415.0,889.0,0.0,490.0,0.0,587.0,425.0,425.0,56.0,50.0,173.0,252.0,0.0,132.0,0.0,77.82,76.9,76.84,62.13,64.42
17.0,623.0,435.0,348.0,320.0,303.0,0.0,65.0,261.0,357.0,5.0,37.0,38.0,258.0,208.0,123.0,0.0,24.0,95.0,220.0,5.0,28.0,7.0,177.0,140.0,41.0,166.0,137.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,121.0,45.0,157.0,72.0,0.0,80.0,0.0,570.0,570.0,570.0,26.0,108.0,462.0,0.0,216.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86,65.0,46.2,52.84,100.0
17.0,137.0,88.0,84.0,107.0,30.0,0.0,36.0,119.0,18.0,0.0,0.0,1.0,58.0,58.0,36.0,8.0,28.0,95.0,12.0,0.0,0.0,0.0,30.0,26.0,8.0,24.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,71.0,71.0,21.0,73.0,14.0,0.0,3.0,0.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.31,54.21,86.67,81.61,100.0
17.0,1463.0,1082.0,408.0,975.0,488.0,0.0,212.0,758.0,705.0,0.0,15.0,39.0,628.0,297.0,36.0,18.0,117.0,470.0,505.0,0.0,15.0,0.0,454.0,111.0,95.0,288.0,200.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,352.0,268.0,78.0,256.0,100.0,0.0,16.0,0.0,340.0,340.0,96.0,39.0,114.0,226.0,0.0,237.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.89,30.46,22.75,75.28,28.24
