,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
MA-500,6044,5912,5846,96.72%,5458,545,41,1313,4120,1920,4,129,33,5458,5382,5358,98.17%,76,189,1241,3986,1468,4,23,22,545,489,447,82.02%,72,134,411,0,85,11,41,41,41,100.00%,0,0,41,0,21,0,1598,1576,1576,98.62%,438,1181,417,0,188,28,5496,5487,5095,92.70%,811,1445,4051,0,1505,26,3896,4093,4083,2721,66.48%,1421,3364,729,0,10,0
MA-502,957,957,957,100.00%,957,0,0,372,887,70,0,20,0,957,957,957,100.00%,14,50,372,887,70,0,20,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,254,254,247,97.24%,13,27,227,0,3,6,224,0,0,0,.,0,0,0,0,0,0
MA-503,288,275,275,95.49%,232,56,0,78,179,109,0,6,0,232,219,219,94.40%,25,0,78,179,53,0,0,0,56,56,56,100.00%,0,0,56,0,6,0,0,0,0,.,0,0,0,0,0,0,62,62,19,30.65%,18,43,19,0,5,0,267,267,267,100.00%,19,44,223,0,49,0,131,39,39,33,84.62%,0,0,39,0,0,0
MA-504,2820,2644,2591,91.88%,2678,135,7,645,2533,283,4,11,15,2678,2611,2569,95.93%,0,3,612,2434,240,4,0,10,135,26,15,11.11%,33,99,36,0,11,5,7,7,7,100.00%,0,0,7,0,0,0,1095,1095,187,17.08%,342,1057,38,0,0,23,1003,1003,716,71.39%,146,383,620,0,381,18,902,168,168,168,100.00%,35,112,56,0,0,10
MA-505,395,353,344,87.09%,298,85,12,68,259,128,8,44,8,298,270,261,87.58%,30,0,62,246,44,8,0,8,85,71,71,83.53%,6,13,72,0,32,0,12,12,12,100.00%,0,0,12,0,12,0,172,172,157,91.28%,72,162,10,0,0,0,302,302,242,80.13%,93,202,100,0,60,0,234,0,0,0,.,0,0,0,0,0,0
MA-506,1390,1325,1297,93.31%,980,397,13,302,982,401,7,137,85,980,915,899,91.73%,50,40,256,843,131,6,6,6,397,397,385,96.98%,46,139,257,1,131,79,13,13,13,100.00%,0,0,13,0,0,0,571,571,571,100.00%,169,499,72,0,0,7,919,919,655,71.27%,173,423,496,0,279,0,220,33,33,28,84.85%,0,0,33,0,0,0
MA-507,488,467,467,95.70%,250,238,0,50,176,312,0,219,12,250,229,229,91.60%,83,9,48,170,80,0,20,0,238,238,238,100.00%,2,6,232,0,199,12,0,0,0,.,0,0,0,0,0,0,175,175,175,100.00%,47,141,34,0,20,2,634,634,278,43.85%,39,122,512,0,428,38,113,47,47,41,87.23%,0,0,47,0,0,0
MA-509,364,338,313,85.99%,247,117,0,60,154,210,0,0,0,247,233,233,94.33%,95,26,29,66,181,0,0,0,117,105,80,68.38%,31,88,29,0,0,0,0,0,0,.,0,0,0,0,0,0,46,41,41,89.13%,10,29,17,0,0,4,480,462,282,58.75%,24,57,423,0,165,0,153,118,113,22,18.64%,5,16,102,0,0,0
MA-510,610,593,593,97.21%,545,65,0,169,438,172,0,25,0,545,528,528,96.88%,0,14,161,420,125,0,0,0,65,65,65,100.00%,8,18,47,0,25,0,0,0,0,.,0,0,0,0,0,0,256,256,106,41.41%,69,205,51,0,0,0,444,444,243,54.73%,50,183,261,0,287,0,444,188,188,138,73.40%,36,119,69,0,17,0
MA-511,965,940,940,97.41%,950,0,15,252,703,262,0,30,0,950,925,925,97.37%,23,73,252,703,247,0,15,0,0,0,0,.,0,0,0,0,0,0,15,15,15,100.00%,0,0,15,0,15,0,806,806,806,100.00%,271,756,50,0,16,0,975,975,895,91.79%,133,369,606,0,350,8,507,0,0,0,.,0,0,0,0,0,0
MA-515,272,259,235,86.40%,248,24,0,76,250,22,0,0,0,248,235,235,94.76%,20,30,66,226,22,0,0,0,24,24,0,0.00%,10,24,0,0,0,0,0,0,0,.,0,0,0,0,0,0,189,189,189,100.00%,59,178,11,0,0,0,198,198,198,100.00%,31,100,98,0,29,11,158,0,0,0,.,0,0,0,0,0,0
MA-516,2652,2326,2024,76.32%,2276,376,0,728,2173,475,4,102,37,2276,2117,1959,86.07%,108,52,633,1935,337,4,6,4,376,209,65,17.29%,95,238,138,0,96,33,0,0,0,.,0,0,0,0,0,0,730,730,54,7.40%,181,537,193,0,158,0,1556,1528,885,56.88%,201,650,906,0,599,22,690,305,299,85,27.87%,40,111,194,0,56,4
MA-519,283,265,235,83.04%,241,42,0,60,253,30,0,0,0,241,223,223,92.53%,0,0,50,223,18,0,0,0,42,42,12,28.57%,10,30,12,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,107,107,77,71.96%,7,24,83,0,33,0,73,6,6,0,0.00%,0,0,6,0,0,0
MD-500,144,116,90,62.50%,93,51,0,24,101,43,0,0,0,93,65,39,41.94%,22,3,11,56,37,0,0,0,51,51,51,100.00%,13,45,6,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,5,16,8,0,0,0,88,88,88,100.00%,14,64,24,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MD-501,2140,2057,1444,67.48%,1135,975,30,111,438,1702,0,343,42,1135,1080,876,77.18%,0,171,58,277,858,0,76,21,975,947,538,55.18%,53,161,814,0,257,21,30,30,30,100.00%,0,0,30,0,10,0,291,277,277,95.19%,68,180,111,0,68,48,3224,3224,2491,77.26%,452,1404,1820,0,831,48,2109,1486,1486,0,0.00%,308,752,734,0,0,0
MD-502,137,109,104,75.91%,108,29,0,59,102,35,0,0,0,108,80,75,69.44%,40,9,43,73,35,0,0,0,29,29,29,100.00%,16,29,0,0,0,0,0,0,0,.,0,0,0,0,0,0,32,32,32,100.00%,8,32,0,0,0,0,165,165,165,100.00%,40,113,52,0,15,0,31,0,0,0,.,0,0,0,0,0,0
MD-503,143,143,143,100.00%,129,14,0,28,86,57,0,6,0,129,129,129,100.00%,81,17,25,78,51,0,0,0,14,14,14,100.00%,3,8,6,0,6,0,0,0,0,.,0,0,0,0,0,0,42,42,42,100.00%,9,24,18,0,0,0,265,265,265,100.00%,22,72,193,0,11,0,196,54,54,54,100.00%,10,35,19,0,0,0
MD-504,95,60,60,63.16%,95,0,0,26,67,28,0,0,0,95,60,60,63.16%,22,0,26,67,28,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,69,60,60,86.96%,16,61,8,0,0,1,103,103,78,75.73%,12,45,58,0,0,0,60,34,34,34,100.00%,7,24,10,0,0,0
MD-505,595,556,556,93.45%,519,76,0,61,455,140,0,0,0,519,486,486,93.64%,108,0,39,379,140,0,0,0,76,70,70,92.11%,22,76,0,0,0,0,0,0,0,.,0,0,0,0,0,0,175,175,175,100.00%,30,94,81,0,11,0,597,597,289,48.41%,59,155,442,0,312,0,494,0,0,0,.,0,0,0,0,0,0
MD-506,85,77,76,89.41%,60,0,25,21,21,64,0,1,0,60,52,51,85.00%,25,10,21,21,39,0,1,0,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,0,0,25,0,0,0,32,32,32,100.00%,6,20,12,0,0,5,40,40,30,75.00%,2,9,31,0,13,0,30,0,0,0,.,0,0,0,0,0,0
MD-507,121,99,99,81.82%,22,99,0,18,77,44,0,29,0,22,0,0,0.00%,25,0,1,22,0,0,0,0,99,99,99,100.00%,17,55,44,0,29,0,0,0,0,.,0,0,0,0,0,0,20,15,15,75.00%,5,15,5,0,0,0,121,121,26,21.49%,2,6,115,0,95,0,100,0,0,0,.,0,0,0,0,0,0
MD-508,211,184,174,82.46%,198,13,0,45,154,51,6,0,6,198,174,174,87.88%,95,9,44,152,40,6,0,6,13,10,0,0.00%,1,2,11,0,0,0,0,0,0,.,0,0,0,0,0,0,42,42,35,83.33%,8,31,11,0,3,0,318,311,311,97.80%,53,189,129,0,0,0,277,0,0,0,.,0,0,0,0,0,0
MD-509,252,223,223,88.49%,151,101,0,50,117,135,0,0,0,151,122,122,80.79%,0,11,13,56,95,0,0,0,101,101,101,100.00%,37,61,40,0,0,0,0,0,0,.,0,0,0,0,0,0,68,68,68,100.00%,23,68,0,0,0,0,52,52,52,100.00%,3,6,46,0,0,0,46,0,0,0,.,0,0,0,0,0,0
MD-510,30,10,10,33.33%,21,9,0,9,11,19,0,0,0,21,1,1,4.76%,0,0,7,9,12,0,0,0,9,9,9,100.00%,2,2,7,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,31,31,31,100.00%,3,7,24,0,0,0,2,0,0,0,.,0,0,0,0,0,0
MD-511,103,103,103,100.00%,80,23,0,27,72,31,0,0,0,80,80,80,100.00%,61,0,22,57,23,0,0,0,23,23,23,100.00%,5,15,8,0,0,0,0,0,0,.,0,0,0,0,0,0,86,86,82,95.35%,21,65,21,0,4,0,100,100,100,100.00%,15,47,53,0,0,0,2,0,0,0,.,0,0,0,0,0,0
MD-512,153,113,113,73.86%,128,25,0,15,86,67,0,25,0,128,88,88,68.75%,42,0,15,86,42,0,0,0,25,25,25,100.00%,0,0,25,0,25,0,0,0,0,.,0,0,0,0,0,0,29,29,1,3.45%,5,21,8,0,1,0,87,87,87,100.00%,15,46,41,0,0,0,52,0,0,0,.,0,0,0,0,0,0
MD-513,247,236,236,95.55%,208,39,0,36,123,124,0,3,0,208,197,197,94.71%,40,6,26,98,110,0,3,0,39,39,39,100.00%,10,25,14,0,0,0,0,0,0,.,0,0,0,0,0,0,98,98,98,100.00%,21,77,21,0,8,0,277,277,277,100.00%,35,132,145,0,85,0,96,0,0,0,.,0,0,0,0,0,0
MD-600,381,381,381,100.00%,224,157,0,66,252,126,3,15,29,224,224,224,100.00%,28,0,19,121,100,3,15,6,157,157,157,100.00%,47,131,26,0,0,23,0,0,0,.,0,0,0,0,0,0,60,60,60,100.00%,8,23,37,0,0,0,301,301,301,100.00%,42,144,157,0,0,0,176,186,186,186,100.00%,64,150,36,0,0,0
MD-601,384,304,304,79.17%,279,101,4,50,176,208,0,4,7,279,219,219,78.49%,63,246,43,138,141,0,0,0,101,81,81,80.20%,7,38,63,0,0,7,4,4,4,100.00%,0,0,4,0,4,0,371,371,371,100.00%,106,310,61,0,10,49,2155,2155,2004,92.99%,333,1197,958,0,194,3,401,166,166,166,100.00%,36,122,44,0,0,0
ME-500,2348,2050,1886,80.32%,1241,1092,15,342,1035,1293,20,68,99,1241,1081,925,74.54%,0,177,163,522,703,16,14,57,1092,954,946,86.63%,179,513,575,4,54,42,15,15,15,100.00%,0,0,15,0,0,0,309,309,309,100.00%,67,209,100,0,0,0,2404,2396,2375,98.79%,307,960,1444,0,311,4,261,114,38,38,33.33%,28,103,11,0,0,0
MI-500,1810,843,552,30.50%,1387,423,0,333,1044,752,14,26,39,1387,753,495,35.69%,129,16,219,693,686,8,2,13,423,90,57,13.48%,114,351,66,6,24,26,0,0,0,.,0,0,0,0,0,0,1210,1210,1210,100.00%,271,927,283,0,63,0,517,517,361,69.83%,76,256,261,0,156,0,43,61,61,61,100.00%,15,59,2,0,1,0
MI-501,1478,1403,1403,94.93%,867,577,34,154,480,994,4,321,111,867,800,800,92.27%,302,33,82,311,552,4,36,9,577,569,569,98.61%,72,169,408,0,251,102,34,34,34,100.00%,0,0,34,0,34,0,853,837,837,98.12%,200,706,147,0,75,67,2855,2855,2300,80.56%,354,983,1872,0,715,0,2138,0,0,0,.,0,0,0,0,0,0
MI-502,260,161,157,60.38%,162,88,10,47,175,85,0,20,0,162,113,109,67.28%,0,0,32,125,37,0,0,0,88,38,38,43.18%,15,50,38,0,20,0,10,10,10,100.00%,0,0,10,0,0,0,119,119,119,100.00%,32,89,30,0,19,0,624,624,624,100.00%,125,405,219,0,195,0,420,0,0,0,.,0,0,0,0,0,0
MI-503,226,187,177,78.32%,190,36,0,49,124,96,6,0,12,190,151,151,79.47%,53,0,40,98,86,6,0,6,36,36,26,72.22%,9,26,10,0,0,6,0,0,0,.,0,0,0,0,0,0,28,28,28,100.00%,5,16,12,0,3,0,225,225,112,49.78%,41,100,125,0,113,0,64,0,0,0,.,0,0,0,0,0,0
MI-504,285,230,230,80.70%,170,115,0,47,155,118,12,0,37,170,115,115,67.65%,82,2,17,60,100,10,0,10,115,115,115,100.00%,30,95,18,2,0,27,0,0,0,.,0,0,0,0,0,0,254,254,254,100.00%,58,222,32,0,11,0,665,665,606,91.13%,93,319,346,0,59,0,272,45,45,0,0.00%,8,38,7,0,0,0
MI-505,323,296,280,86.69%,263,60,0,38,182,131,10,22,36,263,236,236,89.73%,69,0,31,158,95,10,0,10,60,60,44,73.33%,7,24,36,0,22,26,0,0,0,.,0,0,0,0,0,0,148,148,108,72.97%,27,63,85,0,28,32,276,276,276,100.00%,60,181,95,0,10,107,36,0,0,0,.,0,0,0,0,0,0
MI-506,1072,862,827,77.15%,800,272,0,127,445,612,15,57,82,800,717,717,89.63%,40,21,72,281,504,15,18,15,272,145,110,40.44%,55,164,108,0,39,67,0,0,0,.,0,0,0,0,0,0,398,352,379,95.23%,104,331,67,0,16,127,1039,1039,730,70.26%,150,430,609,0,320,10,343,80,80,80,100.00%,15,44,36,0,0,7
MI-507,713,639,639,89.62%,661,52,0,74,250,454,9,0,29,661,619,619,93.65%,0,0,54,206,446,9,0,9,52,20,20,38.46%,20,44,8,0,0,20,0,0,0,.,0,0,0,0,0,0,86,86,86,100.00%,28,76,10,0,3,0,462,441,441,95.45%,74,305,157,0,0,0,204,127,127,127,100.00%,22,74,53,0,0,8
MI-508,583,546,546,93.65%,522,52,9,56,202,372,9,18,28,522,485,485,92.91%,0,46,48,179,339,4,0,4,52,52,52,100.00%,8,23,24,5,9,24,9,9,9,100.00%,0,0,9,0,9,0,149,149,149,100.00%,37,128,21,0,9,20,472,472,279,59.11%,29,113,359,0,193,0,147,67,67,67,100.00%,12,51,16,0,0,0
MI-509,287,227,161,56.10%,247,40,0,24,110,172,5,28,12,247,197,131,53.04%,105,0,21,103,139,5,5,5,40,30,30,75.00%,3,7,33,0,23,7,0,0,0,.,0,0,0,0,0,0,264,264,264,100.00%,69,248,16,0,0,4,623,623,619,99.36%,38,123,500,0,216,17,595,0,0,0,.,0,0,0,0,0,0
MI-510,435,282,282,64.83%,245,184,6,76,226,193,16,20,29,245,201,201,82.04%,0,5,37,110,123,12,20,15,184,75,75,40.76%,39,116,64,4,0,14,6,6,6,100.00%,0,0,6,0,0,0,55,55,55,100.00%,13,37,18,0,4,36,401,382,382,95.26%,55,211,190,0,115,0,202,0,0,0,.,0,0,0,0,0,0
MI-511,184,119,109,59.24%,122,62,0,23,93,90,1,0,1,122,84,74,60.66%,0,0,7,36,86,0,0,0,62,35,35,56.45%,16,57,4,1,0,1,0,0,0,.,0,0,0,0,0,0,18,18,18,100.00%,4,13,5,0,17,0,7,7,7,100.00%,0,0,7,0,0,0,7,0,0,0,.,0,0,0,0,0,0
MI-512,141,107,95,67.38%,128,13,0,20,57,75,9,4,9,128,106,94,73.44%,73,0,15,45,75,8,4,8,13,1,1,7.69%,5,12,0,1,0,1,0,0,0,.,0,0,0,0,0,0,71,71,71,100.00%,31,62,9,0,15,43,306,306,290,94.77%,73,197,109,0,16,0,0,0,0,0,.,0,0,0,0,0,0
MI-514,212,158,158,74.53%,181,31,0,20,77,135,0,18,0,181,127,127,70.17%,0,26,20,77,104,0,18,0,31,31,31,100.00%,0,0,31,0,0,0,0,0,0,.,0,0,0,0,0,0,40,40,40,100.00%,6,21,19,0,10,0,97,97,13,13.40%,4,8,89,0,84,0,7,0,0,0,.,0,0,0,0,0,0
MI-515,228,210,210,92.11%,151,77,0,51,96,132,0,0,0,151,133,133,88.08%,0,0,42,73,78,0,0,0,77,77,77,100.00%,9,23,54,0,0,0,0,0,0,.,0,0,0,0,0,0,18,18,18,100.00%,3,5,13,0,5,0,22,22,22,100.00%,5,16,6,0,0,0,20,0,0,0,.,0,0,0,0,0,0
MI-516,149,128,128,85.91%,149,0,0,27,83,66,0,0,0,149,128,128,85.91%,30,0,27,83,66,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,73,73,73,100.00%,15,54,19,0,5,0,143,143,100,69.93%,39,81,62,0,49,0,63,559,559,69,12.34%,120,308,251,0,0,0
MI-517,113,83,83,73.45%,113,0,0,2,68,45,0,0,0,113,83,83,73.45%,0,10,2,68,45,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,55,55,55,100.00%,11,44,11,0,3,0,95,95,95,100.00%,17,59,36,0,0,0,95,0,0,0,.,0,0,0,0,0,0
MI-518,50,20,20,40.00%,24,26,0,12,34,7,9,0,9,24,17,17,70.83%,19,0,4,11,7,6,0,6,26,3,3,11.54%,8,23,0,3,0,3,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,5,19,6,0,4,0,23,23,23,100.00%,1,4,19,0,0,0,4,0,0,0,.,0,0,0,0,0,0
MI-519,304,264,264,86.84%,161,143,0,46,158,146,0,0,0,161,145,145,90.06%,0,11,19,80,81,0,0,0,143,119,119,83.22%,27,78,65,0,0,0,0,0,0,.,0,0,0,0,0,0,122,89,89,72.95%,34,115,7,0,0,0,136,136,136,100.00%,23,76,60,0,0,0,48,0,0,0,.,0,0,0,0,0,0
MI-523,111,65,65,58.56%,45,66,0,33,110,1,0,0,0,45,29,29,64.44%,0,0,13,45,0,0,0,0,66,36,36,54.55%,20,65,1,0,0,0,0,0,0,.,0,0,0,0,0,0,66,57,57,86.36%,15,54,12,0,2,0,43,43,43,100.00%,11,32,11,0,0,0,43,0,0,0,.,0,0,0,0,0,0
MN-500,2593,2347,2247,86.66%,1889,704,0,384,1331,1226,36,76,217,1889,1716,1711,90.58%,43,69,259,992,877,20,0,65,704,631,536,76.14%,125,339,349,16,76,152,0,0,0,.,0,0,0,0,0,0,880,880,880,100.00%,229,730,150,0,40,122,5126,5094,4516,88.10%,619,2081,3045,0,475,172,639,2321,2299,2200,94.79%,262,968,1350,3,2,88
MN-501,1655,1382,907,54.80%,982,673,0,202,743,896,16,17,98,982,774,567,57.74%,64,13,77,250,720,12,0,45,673,608,340,50.52%,125,493,176,4,17,53,0,0,0,.,0,0,0,0,0,0,461,461,461,100.00%,129,409,52,0,20,47,2835,2743,2395,84.48%,315,1157,1677,1,332,221,925,625,625,623,99.68%,82,281,338,6,0,28
MN-502,417,342,249,59.71%,212,205,0,94,303,106,8,0,50,212,157,84,39.62%,97,11,46,146,58,8,0,16,205,185,165,80.49%,48,157,48,0,0,34,0,0,0,.,0,0,0,0,0,0,128,128,128,100.00%,28,97,31,0,1,16,302,302,282,93.38%,55,168,134,0,31,0,237,581,567,517,88.98%,101,284,287,10,3,28
MN-503,428,338,263,61.45%,336,92,0,82,248,180,0,4,41,336,246,180,53.57%,0,36,64,197,139,0,0,11,92,92,83,90.22%,18,51,41,0,4,30,0,0,0,.,0,0,0,0,0,0,277,277,277,100.00%,77,219,58,0,9,41,955,955,876,91.73%,120,301,654,0,92,68,224,161,161,161,100.00%,23,56,105,0,0,0
MN-504,78,68,72,92.31%,24,54,0,16,42,36,0,0,19,24,24,24,100.00%,0,8,5,13,11,0,0,2,54,44,48,88.89%,11,29,25,0,0,17,0,0,0,.,0,0,0,0,0,0,30,30,30,100.00%,2,6,24,0,3,0,82,82,82,100.00%,15,34,48,0,10,0,5,115,115,95,82.61%,30,76,39,0,0,0
MN-505,554,479,304,54.87%,288,266,0,152,363,189,2,26,64,288,221,130,45.14%,43,4,58,171,117,0,0,1,266,258,174,65.41%,94,192,72,2,26,63,0,0,0,.,0,0,0,0,0,0,245,242,245,100.00%,36,125,120,0,16,2,252,252,188,74.60%,36,109,143,0,64,0,64,288,280,268,93.06%,80,232,56,0,26,0
MN-506,336,301,296,88.10%,191,145,0,85,208,113,15,0,55,191,163,158,82.72%,16,27,30,93,93,5,0,9,145,138,138,95.17%,55,115,20,10,0,46,0,0,0,.,0,0,0,0,0,0,99,73,72,72.73%,32,84,15,0,15,46,134,134,134,100.00%,49,100,34,0,7,27,10,340,340,304,89.41%,87,210,130,0,0,0
MN-508,205,179,179,87.32%,86,119,0,46,128,77,0,4,57,86,60,60,69.77%,0,25,17,42,44,0,4,0,119,119,119,100.00%,29,86,33,0,0,57,0,0,0,.,0,0,0,0,0,0,210,210,210,100.00%,57,190,20,0,1,14,646,646,631,97.68%,132,363,283,0,19,2,294,48,48,48,100.00%,16,48,0,0,0,0
MN-509,368,319,287,77.99%,199,169,0,68,223,145,0,9,55,199,150,123,61.81%,29,2,28,95,104,0,0,18,169,169,164,97.04%,40,128,41,0,9,37,0,0,0,.,0,0,0,0,0,0,101,101,101,100.00%,24,50,51,0,15,6,549,549,535,97.45%,96,245,304,0,21,35,135,440,440,421,95.68%,76,264,176,0,0,11
MN-511,96,84,78,81.25%,56,40,0,35,80,16,0,0,19,56,44,38,67.86%,0,0,21,46,10,0,0,3,40,40,40,100.00%,14,34,6,0,0,16,0,0,0,.,0,0,0,0,0,0,122,111,111,90.98%,47,109,13,0,0,0,148,148,148,100.00%,40,122,26,0,0,14,51,41,41,41,100.00%,18,27,14,0,0,0
MO-500,362,298,220,60.77%,177,185,0,79,179,148,35,8,169,177,138,124,70.06%,48,39,38,133,30,14,0,23,185,160,96,51.89%,41,46,118,21,8,146,0,0,0,.,0,0,0,0,0,0,97,97,97,100.00%,21,84,13,0,4,9,532,532,337,63.35%,84,282,250,0,211,0,481,65,65,0,0.00%,6,12,53,0,46,0
MO-501,1023,872,744,72.73%,490,533,0,155,520,500,3,118,76,490,419,377,76.94%,184,50,61,200,290,0,4,16,533,453,367,68.86%,94,320,210,3,114,60,0,0,0,.,0,0,0,0,0,0,283,263,270,95.41%,60,193,90,0,32,3,1866,1866,1564,83.82%,224,712,1154,0,268,16,1860,52,52,0,0.00%,0,0,52,0,0,0
MO-503,165,102,102,61.82%,140,25,0,39,131,27,7,0,20,140,77,77,55.00%,0,120,32,114,22,4,0,10,25,25,25,100.00%,7,17,5,3,0,10,0,0,0,.,0,0,0,0,0,0,86,86,86,100.00%,14,61,25,0,18,12,33,33,33,100.00%,3,8,25,0,7,0,33,117,117,117,100.00%,1,2,115,0,1,2
MO-600,446,221,208,46.64%,404,42,0,66,195,228,23,0,30,404,179,166,41.09%,124,35,54,171,212,21,0,22,42,42,42,100.00%,12,24,16,2,0,8,0,0,0,.,0,0,0,0,0,0,162,142,142,87.65%,37,132,30,0,35,28,168,168,98,58.33%,14,41,127,0,76,8,168,0,0,0,.,0,0,0,0,0,0
MO-602,307,277,76,24.76%,217,90,0,21,68,214,25,40,25,217,187,39,17.97%,18,0,11,32,161,24,15,24,90,90,37,41.11%,10,36,53,1,25,1,0,0,0,.,0,0,0,0,0,0,41,41,41,100.00%,7,25,16,0,7,0,176,176,98,55.68%,9,27,149,0,78,0,176,0,0,0,.,0,0,0,0,0,0
MO-603,234,166,166,70.94%,151,65,18,44,115,119,0,1,29,151,105,105,69.54%,20,22,28,73,78,0,1,21,65,43,43,66.15%,16,42,23,0,0,8,18,18,18,100.00%,0,0,18,0,0,0,27,27,27,100.00%,4,17,10,0,5,3,204,191,157,76.96%,24,88,116,0,37,7,112,0,0,0,.,0,0,0,0,0,0
MO-604,1995,1624,1356,67.97%,1206,764,25,262,859,1053,83,120,211,1206,898,810,67.16%,0,110,114,513,679,14,39,42,764,701,521,68.19%,148,346,349,69,56,169,25,25,25,100.00%,0,0,25,0,25,0,370,265,265,71.62%,98,286,77,7,75,26,2033,2033,2033,100.00%,475,953,1080,0,458,8,1717,20,20,0,0.00%,0,0,20,0,0,0
MO-606,1446,566,310,21.44%,1162,276,8,213,685,718,43,81,89,1162,334,272,23.41%,95,3,152,517,608,37,81,46,276,224,30,10.87%,61,168,102,6,0,43,8,8,8,100.00%,0,0,8,0,0,0,340,313,256,75.29%,65,213,127,0,45,0,1009,1009,709,70.27%,145,459,550,0,300,0,799,0,0,0,.,0,0,0,0,0,0
MP-500,30,0,0,0.00%,30,0,0,4,5,20,5,0,5,30,0,0,0.00%,0,0,4,5,20,5,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,10,10,0,0.00%,5,10,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MS-500,539,447,193,35.81%,193,346,0,73,249,272,18,8,67,193,141,111,57.51%,0,0,17,88,87,18,2,36,346,306,82,23.70%,56,161,185,0,6,31,0,0,0,.,0,0,0,0,0,0,119,113,113,94.96%,66,119,0,0,44,16,653,653,653,100.00%,442,638,15,0,3,12,311,0,0,0,.,0,0,0,0,0,0
MS-501,361,219,219,60.66%,320,41,0,45,166,191,4,24,12,320,178,178,55.63%,0,10,45,166,150,4,0,4,41,41,41,100.00%,0,0,41,0,24,8,0,0,0,.,0,0,0,0,0,0,679,679,676,99.56%,151,485,194,0,66,0,199,199,199,100.00%,9,33,166,0,89,0,46,75,75,75,100.00%,4,16,59,0,10,0
MS-503,62,12,12,19.35%,25,37,0,24,53,9,0,0,0,25,0,0,0.00%,0,0,9,23,2,0,0,0,37,12,12,32.43%,15,30,7,0,0,0,0,0,0,.,0,0,0,0,0,0,346,342,342,98.84%,28,103,243,0,96,18,58,46,46,79.31%,5,14,44,0,8,0,46,0,0,0,.,0,0,0,0,0,0
MT-500,1351,1035,433,32.05%,961,390,0,201,667,661,23,115,43,961,741,361,37.57%,86,56,134,444,517,0,12,0,390,294,72,18.46%,67,223,144,23,103,43,0,0,0,.,0,0,0,0,0,0,232,232,232,100.00%,55,152,80,0,73,7,941,941,272,28.91%,164,311,630,0,572,13,245,0,0,0,.,0,0,0,0,0,0
NC-500,417,378,293,70.26%,355,62,0,32,103,314,0,24,0,355,316,256,72.11%,80,7,32,103,252,0,0,0,62,62,37,59.68%,0,0,62,0,24,0,0,0,0,.,0,0,0,0,0,0,81,62,62,76.54%,11,42,39,0,21,0,397,397,131,33.00%,47,151,246,0,199,0,110,0,0,0,.,0,0,0,0,0,0
NC-501,523,503,320,61.19%,259,264,0,28,87,430,6,208,6,259,239,98,37.84%,17,77,10,29,224,6,24,6,264,264,222,84.09%,18,58,206,0,184,0,0,0,0,.,0,0,0,0,0,0,31,31,28,90.32%,1,3,28,0,24,0,511,511,186,36.40%,34,85,426,0,325,0,186,50,50,50,100.00%,0,0,50,0,50,0
NC-502,296,282,282,95.27%,252,44,0,34,122,174,0,56,0,252,238,238,94.44%,0,10,34,122,130,0,12,0,44,44,44,100.00%,0,0,44,0,44,0,0,0,0,.,0,0,0,0,0,0,114,101,101,88.60%,27,87,27,0,10,0,347,347,347,100.00%,35,125,222,0,186,0,161,0,0,0,.,0,0,0,0,0,0
NC-503,3277,2472,1398,42.66%,2573,704,0,435,1429,1837,11,34,21,2573,1810,1161,45.12%,64,5,308,1080,1492,1,14,1,704,662,237,33.66%,127,349,345,10,20,20,0,0,0,.,0,0,0,0,0,0,428,428,409,95.56%,86,284,144,0,78,0,2002,2002,1565,78.17%,303,1106,896,0,471,0,1498,0,0,0,.,0,0,0,0,0,0
NC-504,445,395,368,82.70%,381,64,0,63,178,258,9,43,17,381,331,304,79.79%,62,11,54,160,212,9,0,9,64,64,64,100.00%,9,18,46,0,43,8,0,0,0,.,0,0,0,0,0,0,80,80,80,100.00%,17,50,30,0,1,7,375,375,241,64.27%,58,168,207,0,149,0,174,0,0,0,.,0,0,0,0,0,0
